Description,Year,Month,Count
MOPED/SCOOTER                                ,1,2019,6460
MOPED/SCOOTER                                ,2,2019,4826
MOPED/SCOOTER                                ,3,2019,4883
MOPED/SCOOTER                                ,4,2019,4955
MOPED/SCOOTER                                ,5,2019,6657
MOPED/SCOOTER                                ,6,2019,5301
MOPED/SCOOTER                                ,7,2019,5431
MOPED/SCOOTER                                ,8,2019,5837
MOPED/SCOOTER                                ,9,2019,4645
MOPED/SCOOTER                                ,10,2019,3793
MOPED/SCOOTER                                ,11,2019,6792
MOPED/SCOOTER                                ,12,2019,5780
MOTOR CYCLE                                  ,1,2019,6317
MOTOR CYCLE                                  ,2,2019,4938
MOTOR CYCLE                                  ,3,2019,4630
MOTOR CYCLE                                  ,4,2019,5248
MOTOR CYCLE                                  ,5,2019,4499
MOTOR CYCLE                                  ,6,2019,4428
MOTOR CYCLE                                  ,7,2019,4026
MOTOR CYCLE                                  ,8,2019,4879
MOTOR CYCLE                                  ,9,2019,4204
MOTOR CYCLE                                  ,10,2019,3479
MOTOR CYCLE                                  ,11,2019,7266
MOTOR CYCLE                                  ,12,2019,6122
AUTO RICKSHAW,1,2019,157
AUTO RICKSHAW,2,2019,300
AUTO RICKSHAW,3,2019,258
AUTO RICKSHAW,4,2019,239
AUTO RICKSHAW,5,2019,166
AUTO RICKSHAW,6,2019,203
AUTO RICKSHAW,7,2019,261
AUTO RICKSHAW,8,2019,291
AUTO RICKSHAW,9,2019,140
AUTO RICKSHAW,10,2019,317
AUTO RICKSHAW,11,2019,175
AUTO RICKSHAW,12,2019,294
PRIVATE MOTOR CAR/JEEP CAR,1,2019,2606
PRIVATE MOTOR CAR/JEEP CAR,2,2019,1952
PRIVATE MOTOR CAR/JEEP CAR,3,2019,2091
PRIVATE MOTOR CAR/JEEP CAR,4,2019,2237
PRIVATE MOTOR CAR/JEEP CAR,5,2019,2271
PRIVATE MOTOR CAR/JEEP CAR,6,2019,1705
PRIVATE MOTOR CAR/JEEP CAR,7,2019,1555
PRIVATE MOTOR CAR/JEEP CAR,8,2019,1535
PRIVATE MOTOR CAR/JEEP CAR,9,2019,1492
PRIVATE MOTOR CAR/JEEP CAR,10,2019,2327
PRIVATE MOTOR CAR/JEEP CAR,11,2019,2958
PRIVATE MOTOR CAR/JEEP CAR,12,2019,1799
PUBLIC MOTOR CAR 1 TO 6 SEAT,1,2019,1
PUBLIC MOTOR CAR 1 TO 6 SEAT,2,2019,1
PUBLIC MOTOR CAR 7 TO 15 SEAT,2,2019,2
PUBLIC MOTOR CAR 7 TO 15 SEAT,3,2019,3
PUBLIC MOTOR CAR 7 TO 15 SEAT,4,2019,1
PUBLIC MOTOR CAR 7 TO 15 SEAT,8,2019,2
PUBLIC MOTOR CAR 7 TO 15 SEAT,10,2019,5
PUBLIC MOTOR CAR MORE THAN 16 SEAT,4,2019,5
PUBLIC MOTOR CAR MORE THAN 16 SEAT,5,2019,3
PUBLIC MOTOR CAR MORE THAN 16 SEAT,6,2019,2
PUBLIC MOTOR CAR MORE THAN 16 SEAT,8,2019,9
PUBLIC MOTOR CAR MORE THAN 16 SEAT,9,2019,3
PUBLIC MOTOR CAR MORE THAN 16 SEAT,12,2019,1
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,1,2019,294
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2,2019,258
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,3,2019,214
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,4,2019,276
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,5,2019,151
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,6,2019,145
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,7,2019,129
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,8,2019,161
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,9,2019,169
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,10,2019,226
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,11,2019,171
LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,12,2019,248
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1,2019,2
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2,2019,2
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,3,2019,8
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,4,2019,5
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,5,2019,1
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,6,2019,1
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,7,2019,4
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,8,2019,3
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,10,2019,4
LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,11,2019,4
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1,2019,12
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2,2019,1
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,3,2019,18
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,4,2019,5
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,5,2019,17
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,6,2019,17
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,7,2019,3
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,8,2019,1
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,9,2019,3
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,10,2019,2
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,11,2019,3
LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,12,2019,1
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,1,2019,11
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2,2019,10
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,3,2019,11
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,4,2019,5
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,5,2019,14
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,6,2019,4
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,7,2019,8
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,8,2019,13
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,9,2019,3
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,10,2019,8
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,11,2019,10
LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,12,2019,7
TRAILER UPTO 2 TON,1,2019,60
TRAILER UPTO 2 TON,2,2019,17
TRAILER UPTO 2 TON,3,2019,30
TRAILER UPTO 2 TON,5,2019,12
TRAILER UPTO 2 TON,6,2019,1
TRAILER UPTO 2 TON,7,2019,10
TRAILER UPTO 2 TON,8,2019,1
TRAILER UPTO 2 TON,9,2019,16
TRAILER UPTO 2 TON,10,2019,22
TRAILER UPTO 2 TON,11,2019,5
TRAILER UPTO 2 TON,12,2019,10
EXCAVATOR,8,2019,1
CRANE,1,2019,2
CRANE,2,2019,3
CRANE,3,2019,1
CRANE,4,2019,1
CRANE,6,2019,2
CRANE,7,2019,2
CRANE,8,2019,3
CRANE,9,2019,1
LOADER                                       ,1,2019,2
LOADER                                       ,2,2019,3
LOADER                                       ,3,2019,3
LOADER                                       ,5,2019,5
LOADER                                       ,6,2019,2
LOADER                                       ,7,2019,3
LOADER                                       ,9,2019,6
LOADER                                       ,10,2019,2
LOADER                                       ,11,2019,1
LOADER                                       ,12,2019,3
WHEEL DOZER                                  ,1,2019,1
TEMPO,1,2019,151
TEMPO,2,2019,397
TEMPO,3,2019,313
TEMPO,4,2019,261
TEMPO,5,2019,211
TEMPO,6,2019,207
TEMPO,7,2019,145
TEMPO,8,2019,181
TEMPO,9,2019,195
TEMPO,10,2019,225
TEMPO,11,2019,243
TEMPO,12,2019,378
ROLLER,4,2019,1
FORKLIFT,1,2019,3
FORKLIFT,5,2019,1
FORKLIFT,6,2019,1
FORKLIFT,8,2019,1
FORKLIFT,9,2019,1
CONCRETE MIXER,1,2019,1
CONCRETE MIXER,2,2019,1
CONCRETE MIXER,5,2019,2
CONCRETE MIXER,6,2019,1
CONCRETE MIXER,12,2019,3
TANKER,1,2019,2
TANKER,2,2019,1
TANKER,3,2019,5
TANKER,6,2019,1
TANKER,7,2019,3
BUS,1,2019,5
BUS,2,2019,53
BUS,3,2019,21
BUS,4,2019,14
BUS,5,2019,32
BUS,6,2019,43
BUS,7,2019,55
BUS,8,2019,37
BUS,9,2019,2
BUS,10,2019,11
BUS,11,2019,6
BUS,12,2019,6
AMBULANCE,2,2019,1
AMBULANCE,4,2019,2
AMBULANCE,5,2019,2
AMBULANCE,6,2019,2
AMBULANCE,8,2019,1
AMBULANCE,12,2019,1
SWEEPING MACHINE,3,2019,2
